1000
op_type,chunk_size,block_id,exec_time
malloc,36757504,0,11076.000000
malloc,42450944,1,2574.000000
malloc,4661248,2,1833.000000
malloc,6373376,3,2418.000000
malloc,18268160,4,2847.000000
malloc,22126592,5,1755.000000
malloc,36691968,6,2145.000000
malloc,3481600,7,2613.000000
malloc,30801920,8,2067.000000
malloc,33710080,9,2184.000000
free,36757504,0,858.000000
free,42450944,1,195.000000
free,4661248,2,78.000000
free,6373376,3,117.000000
free,18268160,4,117.000000
free,22126592,5,117.000000
free,36691968,6,156.000000
free,3481600,7,117.000000
free,30801920,8,195.000000
free,33710080,9,233.000000
malloc,51937280,10,2067.000000
malloc,15507456,11,1560.000000
malloc,14229504,12,2301.000000
malloc,3653632,13,2027.000000
malloc,49790976,14,1872.000000
malloc,20037632,15,1404.000000
malloc,16924672,16,1560.000000
malloc,51822592,17,2262.000000
malloc,44179456,18,2028.000000
malloc,14442496,19,2028.000000
free,51937280,10,156.000000
free,15507456,11,156.000000
free,14229504,12,156.000000
free,3653632,13,117.000000
free,49790976,14,116.000000
free,20037632,15,117.000000
free,16924672,16,117.000000
free,51822592,17,78.000000
free,44179456,18,117.000000
free,14442496,19,195.000000
malloc,31285248,20,2535.000000
malloc,29179904,21,1638.000000
malloc,44457984,22,1794.000000
malloc,9682944,23,1794.000000
malloc,20840448,24,3081.000000
malloc,46653440,25,1560.000000
malloc,44597248,26,1677.000000
malloc,16662528,27,1872.000000
malloc,5398528,28,1599.000000
malloc,2359296,29,1560.000000
free,31285248,20,117.000000
free,29179904,21,156.000000
free,44457984,22,116.000000
free,9682944,23,117.000000
free,20840448,24,117.000000
free,46653440,25,117.000000
free,44597248,26,116.000000
free,16662528,27,117.000000
free,5398528,28,117.000000
free,2359296,29,156.000000
malloc,33816576,30,1560.000000
malloc,42156032,31,2574.000000
malloc,44810240,32,2028.000000
malloc,38477824,33,2145.000000
malloc,48521216,34,2262.000000
malloc,10641408,35,1599.000000
malloc,8167424,36,2691.000000
malloc,32784384,37,1911.000000
malloc,14123008,38,2808.000000
malloc,38969344,39,2378.000000
free,33816576,30,195.000000
free,42156032,31,117.000000
free,44810240,32,117.000000
free,38477824,33,156.000000
free,48521216,34,117.000000
free,10641408,35,117.000000
free,8167424,36,156.000000
free,32784384,37,117.000000
free,14123008,38,117.000000
free,38969344,39,234.000000
malloc,14065664,40,3315.000000
malloc,13631488,41,1638.000000
malloc,2048000,42,1794.000000
malloc,28295168,43,1872.000000
malloc,17276928,44,1521.000000
malloc,51830784,45,1872.000000
malloc,48324608,46,1287.000000
malloc,34201600,47,1599.000000
malloc,51224576,48,1599.000000
malloc,40075264,49,1638.000000
free,14065664,40,624.000000
free,13631488,41,117.000000
free,2048000,42,117.000000
free,28295168,43,117.000000
free,17276928,44,117.000000
free,51830784,45,78.000000
free,48324608,46,117.000000
free,34201600,47,117.000000
free,51224576,48,117.000000
free,40075264,49,156.000000
malloc,48635904,50,1482.000000
malloc,30072832,51,1248.000000
malloc,16818176,52,2769.000000
malloc,40656896,53,1248.000000
malloc,39755776,54,1209.000000
malloc,37650432,55,1794.000000
malloc,34881536,56,1287.000000
malloc,31916032,57,1833.000000
malloc,1884160,58,1248.000000
malloc,40280064,59,1833.000000
free,48635904,50,156.000000
free,30072832,51,117.000000
free,16818176,52,117.000000
free,40656896,53,78.000000
free,39755776,54,117.000000
free,37650432,55,117.000000
free,34881536,56,78.000000
free,31916032,57,117.000000
free,1884160,58,117.000000
free,40280064,59,195.000000
malloc,34267136,60,1559.000000
malloc,35700736,61,1170.000000
malloc,29999104,62,1677.000000
malloc,26648576,63,1989.000000
malloc,21741568,64,2808.000000
malloc,26091520,65,1755.000000
malloc,37281792,66,2808.000000
malloc,29908992,67,1911.000000
malloc,6438912,68,2223.000000
malloc,51404800,69,1599.000000
free,34267136,60,117.000000
free,35700736,61,117.000000
free,29999104,62,117.000000
free,26648576,63,116.000000
free,21741568,64,117.000000
free,26091520,65,117.000000
free,37281792,66,117.000000
free,29908992,67,78.000000
free,6438912,68,117.000000
free,51404800,69,156.000000
malloc,16449536,70,1287.000000
malloc,20504576,71,1092.000000
malloc,12599296,72,2106.000000
malloc,18489344,73,1443.000000
malloc,48791552,74,1560.000000
malloc,29876224,75,1794.000000
malloc,17891328,76,1715.000000
malloc,44687360,77,1365.000000
malloc,11640832,78,1833.000000
malloc,16678912,79,1794.000000
free,16449536,70,78.000000
free,20504576,71,117.000000
free,12599296,72,78.000000
free,18489344,73,117.000000
free,48791552,74,117.000000
free,29876224,75,117.000000
free,17891328,76,78.000000
free,44687360,77,117.000000
free,11640832,78,117.000000
free,16678912,79,156.000000
malloc,32325632,80,1560.000000
malloc,7839744,81,1443.000000
malloc,46751744,82,1794.000000
malloc,49135616,83,1443.000000
malloc,48496640,84,1599.000000
malloc,34078720,85,1950.000000
malloc,34357248,86,1833.000000
malloc,30949376,87,1248.000000
malloc,13557760,88,1794.000000
malloc,36233216,89,1716.000000
free,32325632,80,78.000000
free,7839744,81,117.000000
free,46751744,82,117.000000
free,49135616,83,117.000000
free,48496640,84,117.000000
free,34078720,85,78.000000
free,34357248,86,117.000000
free,30949376,87,117.000000
free,13557760,88,117.000000
free,36233216,89,156.000000
malloc,18792448,90,1482.000000
malloc,47824896,91,1248.000000
malloc,19505152,92,1092.000000
malloc,48791552,93,1286.000000
malloc,22044672,94,1755.000000
malloc,41238528,95,1638.000000
malloc,22446080,96,1248.000000
malloc,6889472,97,1403.000000
malloc,18718720,98,1637.000000
malloc,28884992,99,1560.000000
free,18792448,90,78.000000
free,47824896,91,117.000000
free,19505152,92,117.000000
free,48791552,93,117.000000
free,22044672,94,117.000000
free,41238528,95,116.000000
free,22446080,96,117.000000
free,6889472,97,117.000000
free,18718720,98,78.000000
free,28884992,99,195.000000
malloc,5857280,100,1794.000000
malloc,35160064,101,1755.000000
malloc,49381376,102,1092.000000
malloc,18448384,103,2418.000000
malloc,1212416,104,1326.000000
malloc,45744128,105,1248.000000
malloc,48324608,106,1677.000000
malloc,19103744,107,1833.000000
malloc,37994496,108,2340.000000
malloc,7528448,109,1248.000000
free,5857280,100,117.000000
free,35160064,101,156.000000
free,49381376,102,117.000000
free,18448384,103,117.000000
free,1212416,104,78.000000
